comment,product_id,rating,reviewer,sku,submissionTime,title
Great movie selection for children. I would recommend this for a good selection of shows for family viewing.,34421078,5,Mimilynn,1171033,8/5/14 19:07,Great movie selection.
Blue tooth phone is super easy to use has clear reception,34421030,5,cinderbrixt,3162724,8/5/14 19:02,Easy to use
This is a great collection of all their music on one cd,34420880,5,Keri1991,7801345,8/5/14 18:51,Great cd
The new iTunes cards are great. I love that the seal peels off now instead of having to try and scrape it off to be able to read the activation code.,34420849,5,Enrique,3695167,8/5/14 18:49,Exactly as expected
I researched this item first. It met all my expectations .,34420778,5,ELCS,1807143,8/5/14 18:42,Great for reading on a treadmill.
I use it mostly to save all my movies when we travel.,34420761,4,Moohoo,9255071,8/5/14 18:40,great for travel
It is hard to use when typing and taking pictures.,34420731,3,Moohoo,7078224,8/5/14 18:39,easy to use
My son enjoys the levels this game presents; I like the graphics.,34420694,4,midgradetechy,8793344,8/5/14 18:37,my son likes to play this game
It allows me to add an external memory stick whenever I need to without compromising the internal momery,34420687,5,Moohoo,1688641,8/5/14 18:36,works great
I am really glado to buy this product since gave to my IPAD mini a new dimension in terms of comfort to use it. great design and very easy to use. I think that is a good purchase,34420659,5,gustoni,1775165,8/5/14 18:34,great complement for the IPAD mini
A friend suggested this product and I am pleased I got it. Affordable and steams my garments.,34420656,4,midgradetechy,6627506,8/5/14 18:34,steams garments well
This is a great printer I am very happy I bought this HP Printer. It has everything you need including Faxing. It's well worth the money.,34420602,5,Sherman11,1483108,8/5/14 18:29,Great Printer
I liked the Action but wasn't too much impressed with the fiction,34420500,3,Cookiemom,6306039,8/5/14 18:23,Great cast of Actors
LOVE having cartridges delievered to my door and that HP knows when I need them! Excellent price! Can't beat it!,34420461,5,golitav,5119185,8/5/14 18:21,HP INstant Ink
"Great printer. LOVE the wireless feature..saves on wires all over the place. Signed up for the HP Instant Ink service, Love having catridges delivered to my door!",34420456,5,golitav,1483108,8/5/14 18:20,printer
